play_order,audio_file,type,phase_tag,phase_title,course_id,title
81,81_module-9-1.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.1,Kubernetes (AKS (Azure Kubernetes Service)) — container orchestration
82,82_module-9-2.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.2,Docker fluency — images & registries
83,83_module-9-3.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.3,Cross-cloud exposure — a slice of AWS
84,84_module-9-4.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.4,Observability — Prometheus + Grafana
85,85_module-9-5.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.5,Certification pathway — clear the resume filter
86,86_module-9-6.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.6,GitOps on AKS with Flux v2
87,87_module-9-7.mp3,Module,P9,Market Add-Ons — Cloud Engineer Consensus,9.7,"Kubernetes autoscaling in depth — HPA, Cluster Autoscaler, KEDA"
88,88_phase10-intro.mp3,Phase intro,P10,Resilience & Response,—,Phase 10: Resilience & Response
89,89_module-10-1.mp3,Module,P10,Resilience & Response,10.1,Backup & Disaster Recovery
90,90_module-10-2.mp3,Module,P10,Resilience & Response,10.2,Incident Response runbook + tabletop
91,91_module-10-3.mp3,Module,P10,Resilience & Response,10.3,Sentinel SOC capstone — map your lab and watch who's knocking
92,92_closing.mp3,Closing,—,—,—,Closing
